K	N
2651	56
2652	67
2653	64
2654	57
2655	61
2656	66
2657	43
2658	60
2659	54
2660	82
2661	68
2662	59
2663	53
2664	60
2665	49
2666	57
2667	68
2668	56
2669	58
2670	65
2671	54
2672	58
2673	65
2674	64
2675	59
2676	51
2677	66
2678	53
2679	65
2680	43
2681	58
2682	65
2683	60
2684	60
2685	60
2686	51
2687	68
2688	66
2689	59
2690	76
2691	56
2692	58
2693	65
2694	70
2695	63
2696	57
2697	73
2698	48
2699	66
2700	61
2701	69
2702	59
2703	46
2704	57
2705	55
2706	57
2707	65
2708	71
2709	62
2710	68
2711	59
2712	70
2713	45
2714	65
2715	60
2716	60
2717	63
2718	61
2719	66
2720	70
2721	66
2722	55
2723	55
2724	52
2725	51
2726	64
2727	49
2728	47
2729	68
2730	60
2731	52
2732	70
2733	51
2734	50
2735	64
2736	63
2737	69
2738	52
2739	57
2740	63
2741	58
2742	63
2743	48
2744	67
2745	54
2746	44
2747	71
2748	53
2749	68
2750	52
2751	61
2752	63
2753	50
2754	60
2755	62
2756	54
2757	47
2758	53
2759	57
2760	47
2761	44
2762	57
2763	56
2764	61
2765	57
2766	62
2767	64
2768	72
2769	53
2770	65
2771	70
2772	71
2773	51
2774	62
2775	72
2776	63
2777	64
2778	66
2779	58
2780	62
2781	56
2782	50
2783	60
2784	54
2785	57
2786	45
2787	66
2788	58
2789	61
2790	65
2791	67
2792	55
2793	55
2794	60
2795	68
2796	59
2797	55
2798	58
2799	68
2800	57
2801	64
2802	66
2803	63
2804	62
2805	53
2806	53
2807	49
2808	60
2809	61
2810	51
2811	80
2812	61
2813	60
2814	62
2815	47
2816	51
2817	40
2818	54
2819	60
2820	45
2821	50
2822	51
2823	58
2824	51
2825	58
2826	48
2827	68
2828	56
2829	50
2830	45
2831	61
2832	58
2833	54
2834	44
2835	56
2836	57
2837	55
2838	50
2839	61
2840	57
2841	62
2842	55
2843	53
2844	47
2845	57
2846	52
2847	52
2848	58
2849	57
2850	63
2851	53
2852	64
2853	51
2854	74
2855	74
2856	55
2857	76
2858	67
2859	61
2860	68
2861	57
2862	55
2863	62
2864	47
2865	55
2866	58
2867	53
2868	64
2869	63
2870	42
2871	51
2872	50
2873	68
2874	59
2875	52
2876	63
2877	65
2878	56
2879	58
2880	58
2881	51
2882	47
2883	52
2884	64
2885	54
2886	57
2887	53
2888	44
2889	45
2890	63
2891	58
2892	83
2893	52
2894	64
2895	61
2896	65
2897	63
2898	61
2899	64
2900	67
2901	62
2902	54
2903	61
2904	51
2905	71
2906	54
2907	56
2908	47
2909	51
2910	59
2911	47
2912	75
2913	69
2914	62
2915	65
2916	55
2917	67
2918	46
2919	53
2920	53
2921	46
2922	46
2923	54
2924	69
2925	53
2926	53
2927	48
2928	50
2929	61
2930	58
2931	64
2932	52
2933	41
2934	55
2935	62
2936	50
2937	44
2938	56
2939	41
2940	51
2941	64
2942	56
2943	49
2944	48
2945	50
2946	64
2947	50
2948	59
2949	61
2950	46
2951	57
2952	42
2953	58
2954	56
2955	57
2956	59
2957	66
2958	61
2959	46
2960	63
